frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate,plate_confidence,direction
128,car,0.9,,467,163,639,316,,0.9,right
128,car,0.89,,271,165,474,301,2,0.89,right
128,person,0.34,,82,190,91,216,,0.34,left
128,person,0.31,,70,194,79,216,,0.31,left
129,car,0.9,,467,163,639,316,Y,0.9,right
129,car,0.89,,271,166,473,301,4,0.89,right
129,person,0.34,,82,190,91,216,,0.34,left
129,person,0.31,,70,194,79,216,,0.31,left
130,car,0.9,,467,164,639,316,,0.9,right
130,car,0.88,,271,166,472,301,2,0.88,right
130,person,0.33,,82,190,91,216,,0.33,left
130,person,0.3,,70,194,79,216,,0.3,left
131,car,0.9,,467,164,639,316,,0.9,right
131,car,0.89,,271,166,473,301,2,0.89,right
131,person,0.34,,82,190,91,216,,0.34,left
131,person,0.3,,70,194,79,216,,0.3,left
132,car,0.9,,468,164,639,315,O,0.9,right
132,car,0.9,,271,166,473,300,,0.9,right
132,person,0.36,,82,190,91,216,,0.36,left
132,person,0.31,,70,194,79,216,,0.31,left
133,car,0.9,,271,166,473,300,,0.9,right
133,car,0.9,,468,166,639,316,,0.9,right
133,person,0.36,,82,190,91,216,,0.36,left
133,person,0.31,,70,194,79,216,,0.31,left
134,car,0.9,,468,167,639,315,,0.9,right
134,car,0.9,,271,166,474,300,,0.9,right
134,person,0.36,,82,190,91,216,,0.36,left
134,person,0.32,,70,194,79,216,,0.32,left
135,car,0.9,,271,166,473,301,,0.9,right
135,car,0.9,,468,167,639,315,,0.9,right
135,person,0.35,,82,190,91,216,,0.35,left
135,person,0.31,,70,194,79,216,,0.31,left
136,car,0.9,,271,166,474,301,2,0.9,right
136,car,0.9,,468,168,639,314,,0.9,right
136,person,0.33,,82,190,91,216,,0.33,left
136,person,0.3,,70,194,79,216,,0.3,left
137,car,0.91,,468,167,639,314,,0.91,right
137,car,0.9,,271,166,474,301,,0.9,right
137,person,0.34,,82,190,91,216,,0.34,left
137,person,0.3,,70,194,79,216,,0.3,left
138,car,0.9,,468,167,639,314,,0.9,right
138,car,0.9,,271,166,474,301,,0.9,right
138,person,0.34,,82,190,91,216,,0.34,left
138,person,0.3,,70,194,79,216,,0.3,left
139,car,0.9,,271,166,475,301,,0.9,right
